zvit_date;registration_area;total_area;edrpou_hosp;legal_entity_name_hosp;lat;lng;addresses;new_susp;new_hosp;active_hosp;new_confirm;active_confirm;new_death;new_recover
2020-04-13;Вінницька;Вінницька;01982488;КНП Барська центральна районна лікарня;49.07693882;27.68346628;Вінницька обл., Барський район, місто Бар ВУЛИЦЯ КАШТАНОВА буд. 34 В;0;0;2;0;1;0;0
2020-04-13;Вінницька;Вінницька;01982494;КНП Бершадська окружна лікарня інтенсивного лікування;48.36394089;29.51056478;Вінницька обл., Бершадський район, місто Бершадь ВУЛИЦЯ  БУДКЕВИЧА буд. 2;0;0;2;0;0;0;0
2020-04-13;Вінницька;Вінницька;01982502;КНП Вінницька центральна районна клінічна лікарня;49.23516928;28.41473579;Вінницька обл., місто Вінниця ВУЛИЦЯ ХМЕЛЬНИЦЬКЕ ШОСЕ буд. 92;0;0;6;0;2;0;0
2020-04-13;Вінницька;Вінницька;01982525;КНП Жмеринська центральна районна лікарня Жмеринської районної ради;49.060833;28.11917;Вінницька обл., місто Жмеринка ВУЛИЦЯ КИЇВСЬКА буд. 288;0;0;3;0;0;0;0
2020-04-13;Вінницька;Вінницька;01982554;КНП Калинівська центральна районна лікарня;49.4559744;28.5117364;Вінницька обл., Калинівський район, село Корделівка ВУЛИЦЯ КИЇВСЬКА буд. 19-А;0;0;6;0;6;0;0
2020-04-13;Вінницька;Вінницька;01982560;КНП Крижопільська окружна лікарня інтенсивного лікування;49.23216012;28.4921834;Вінницька обл., Крижопільський район, селище міського типу Крижопіль ВУЛИЦЯ ДАНИЛА НЕЧАЯ буд. 10;0;0;2;0;0;0;0
2020-04-13;Вінницька;Вінницька;01982591;КНП Могилів-Подільська окружна лікарня інтенсивного лікування;48.45797183;27.77135047;Вінницька обл., місто Могилів-Подільський ВУЛИЦЯ ПОЛТАВСЬКА буд. 89/2;0;0;8;0;3;0;0
2020-04-13;Вінницька;Вінницька;01982666;КНП Тростянецька центральна районна лікарня;48.51712671;29.24126219;Вінницька обл., Тростянецький район, селище міського типу Тростянець ВУЛИЦЯ МІЧУРІНА буд. 60;0;0;1;0;1;0;0
2020-04-13;Вінницька;Вінницька;01982672;КНП Тульчинська центральна районна лікарня;48.67485842;28.84152629;Вінницька обл., Тульчинський район, місто Тульчин ВУЛИЦЯ МИКОЛИ ЛЕОНТОВИЧА буд. 114;1;0;3;0;0;0;0
2020-04-13;Вінницька;Вінницька;01982689;КНП Тиврівська центральна районна лікарня;49.01321312;28.50364486;Вінницька обл., Тиврівський район, селище міського типу Тиврів ВУЛИЦЯ ШЕВЧЕНКА буд. 2 А;0;0;2;0;0;0;0
2020-04-13;Вінницька;Вінницька;01982695;КНП Хмільницька центральна районна лікарня;49.54440739;27.94350477;Вінницька обл., місто Хмільник ВУЛИЦЯ МОНАСТИРСЬКА буд. 71;4;4;28;0;3;0;0
2020-04-13;Вінницька;Вінницька;01982726;КНП Ямпільська центральна районна лікарня;48.24768588;28.27857281;Вінницька обл., Ямпільський район, місто Ямпіль ВУЛИЦЯ ПИРОГОВА буд. 1;0;0;1;0;1;0;0
2020-04-13;Вінницька;Вінницька;03082760;КНП Вінницька обласна дитяча клінічна лікарня;49.23993118;28.41033191;Вінницька обл., місто Вінниця ВУЛИЦЯ ХМЕЛЬНИЦЬКЕ ШОСЕ буд. 108;0;0;1;0;0;0;0
2020-04-13;Вінницька;Вінницька;05484126;КНП Вінницька міська клінічна лікарня №1;49.23634732;28.41400293;Вінницька обл., місто Вінниця ВУЛИЦЯ ХМЕЛЬНИЦЬКЕ ШОСЕ буд. 96;1;0;60;0;25;0;0
2020-04-13;Вінницька;Вінницька;07816153;ВІЙСЬКОВО-МЕДИЧНИЙ КЛІНІЧНИЙ ЦЕНТР ЦЕНТРАЛЬНОГО РЕГІОНУ;49.220265000000005;28.456245000000003;21018, Вінницька обл., місто Вінниця, ВУЛИЦЯ КНЯЗІВ КОРІАТОВИЧІВ, будинок 185;0;0;1;0;1;0;0
2020-04-13;Вінницька;Вінницька;33868196;КНП Шаргородська центральна районна лікарня;48.76288651;28.06904618;Вінницька обл., Шаргородський район, місто Шаргород ВУЛИЦЯ ЧОРНОВОЛА буд. 9;0;0;1;0;0;0;0
2020-04-13;Вінницька;Вінницька;34004453;КНП Вінницька обласна дитяча інфекційна клінічна лікарня;49.25005321;28.47683918;Вінницька обл., місто Вінниця ВУЛИЦЯ КИЇВСЬКА буд. 68;0;0;15;0;4;0;0
